"Referencia";"Fecha Alta";"Tipo";"Operación";"Provincia";"Superficie";"Precio Venta";"Fecha Venta";"Vendedor"
112;02/13/2004;"Local";"Alquiler";"Lleida";160;1064800;09/22/2004;"Pedro"
113;02/13/2004;"Suelo";"Alquiler";"Barcelona";89;887241;01/02/2005;"Luisa"
114;02/14/2004;"Suelo";"Venta";"Girona";103;806799;01/11/2005;"Joaquín"
115;02/14/2004;"Industrial";"Venta";"Tarragona";54;438750;08/15/2004;"Carmen"
116;02/15/2004;"Parking";"Venta";"Girona";103;973659;01/04/2005;"Jesús"
117;02/15/2004;"Oficina";"Venta";"Girona";274;1724008;09/26/2004;"Joaquín"
118;02/15/2004;"Oficina";"Venta";"Girona";253;2047276;09/10/2004;"Luisa"
119;02/16/2004;"Parking";"Venta";"Lleida";51;307989;07/06/2004;"Pedro"
120;02/16/2004;"Piso";"Venta";"Tarragona";174;973878;12/13/2004;"Jesús"
121;02/17/2004;"Parking";"Venta";"Barcelona";152;688864;12/06/2004;"Jesús"
122;02/17/2004;"Casa";"Alquiler";"Barcelona";270;1385910;02/05/2005;"Pedro"
123;02/17/2004;"Local";"Alquiler";"Girona";179;1461356;07/30/2004;"Pedro"
124;02/18/2004;"Suelo";"Alquiler";"Tarragona";212;926228;09/05/2004;"Joaquín"
125;02/19/2004;"Industrial";"Venta";"Girona";118;1067192;08/25/2004;"Carmen"
126;02/19/2004;"Industrial";"Venta";"Tarragona";194;1373132;08/31/2004;"María"
127;02/20/2004;"Industrial";"Venta";"Barcelona";139;1087119;05/29/2004;"Jesús"
128;02/20/2004;"Casa";"Venta";"Tarragona";130;1230190;01/04/2005;"Luisa"
129;02/21/2004;"Parking";"Alquiler";"Lleida";206;1363926;01/08/2005;"Carmen"
130;02/21/2004;"Oficina";"Venta";"Tarragona";216;1389096;11/23/2004;"Luisa"
131;02/21/2004;"Local";"Venta";"Lleida";55;477345;09/04/2004;"Carmen"
132;02/21/2004;"Oficina";"Venta";"Tarragona";190;1268630;12/04/2004;"Jesús"
133;02/22/2004;"Suelo";"Alquiler";"Tarragona";62;391964;11/14/2004;"Pedro"
134;02/22/2004;"Oficina";"Alquiler";"Tarragona";275;1765225;02/20/2005;"Joaquín"
135;02/22/2004;"Local";"Venta";"Lleida";45;229455;10/05/2004;"Jesús"
136;02/23/2004;"Oficina";"Alquiler";"Lleida";105;624435;06/24/2004;"Joaquín"
137;02/23/2004;"Casa";"Venta";"Barcelona";119;686154;01/19/2005;"Pedro"
138;02/24/2004;"Industrial";"Venta";"Girona";88;678480;12/28/2004;"Luisa"
139;02/26/2004;"Local";"Alquiler";"Tarragona";63;533925;09/22/2004;"Joaquín"
140;02/26/2004;"Piso";"Venta";"Barcelona";222;1076034;06/02/2004;"María"
141;02/27/2004;"Suelo";"Venta";"Barcelona";47;455477;12/31/2004;"Joaquín"
142;02/27/2004;"Oficina";"Venta";"Tarragona";123;1128156;09/23/2004;"Pedro"
143;02/27/2004;"Oficina";"Alquiler";"Tarragona";134;1310520;12/28/2004;"María"
144;02/28/2004;"Parking";"Alquiler";"Barcelona";121;782870;11/19/2004;"Pedro"
145;02/28/2004;"Piso";"Venta";"Girona";50;315550;10/14/2004;"Pedro"
146;02/28/2004;"Parking";"Venta";"Girona";274;2028970;08/20/2004;"Luisa"
147;02/28/2004;"Parking";"Alquiler";"Barcelona";76;734388;05/28/2004;"Joaquín"
148;02/28/2004;"Local";"Venta";"Barcelona";109;779241;05/30/2004;"María"
149;02/29/2004;"Piso";"Venta";"Lleida";249;1492506;02/12/2005;"Luisa"
150;03/01/2004;"Casa";"Alquiler";"Lleida";212;1800516;12/19/2004;"Jesús"
151;03/01/2004;"Oficina";"Alquiler";"Lleida";128;1259904;10/02/2004;"Luisa"
152;03/02/2004;"Oficina";"Venta";"Tarragona";172;1063648;02/13/2005;"María"
153;03/02/2004;"Piso";"Venta";"Lleida";68;434656;07/13/2004;"María"
154;03/02/2004;"Industrial";"Alquiler";"Lleida";52;508924;09/03/2004;"Pedro"
155;03/03/2004;"Suelo";"Alquiler";"Girona";185;1403595;10/02/2004;"Pedro"
156;03/03/2004;"Casa";"Venta";"Girona";284;1561432;07/01/2004;"Pedro"
157;03/03/2004;"Oficina";"Venta";"Tarragona";202;1891932;10/02/2004;"María"
158;03/03/2004;"Casa";"Alquiler";"Lleida";100;731700;10/10/2004;"Luisa"
159;03/04/2004;"Local";"Venta";"Lleida";106;563178;08/01/2004;"Pedro"
160;03/04/2004;"Casa";"Venta";"Tarragona";211;875228;07/23/2004;"María"
161;03/04/2004;"Suelo";"Venta";"Tarragona";165;1305480;07/29/2004;"Jesús"
162;03/05/2004;"Piso";"Alquiler";"Lleida";251;1361675;08/16/2004;"Jesús"
163;03/05/2004;"Local";"Venta";"Tarragona";266;1161090;11/23/2004;"Carmen"
164;03/05/2004;"Oficina";"Alquiler";"Girona";287;1395681;09/13/2004;"Carmen"
165;03/05/2004;"Industrial";"Venta";"Tarragona";104;1001104;10/11/2004;"Luisa"
166;03/06/2004;"Oficina";"Venta";"Tarragona";250;2275500;07/29/2004;"Luisa"
167;03/06/2004;"Parking";"Venta";"Girona";169;1370759;01/14/2005;"Luisa"
168;03/06/2004;"Suelo";"Venta";"Lleida";221;1842035;10/15/2004;"Joaquín"
169;03/07/2004;"Industrial";"Alquiler";"Barcelona";286;2080078;07/14/2004;"Jesús"
170;03/08/2004;"Suelo";"Alquiler";"Lleida";73;597286;02/20/2005;"Joaquín"
171;03/08/2004;"Suelo";"Venta";"Girona";144;1358640;11/13/2004;"Joaquín"
172;03/08/2004;"Piso";"Alquiler";"Tarragona";108;558252;10/19/2004;"María"
173;03/09/2004;"Oficina";"Venta";"Girona";268;2400476;03/08/2005;"Joaquín"
174;03/09/2004;"Piso";"Alquiler";"Lleida";143;1131416;08/25/2004;"Joaquín"
175;03/10/2004;"Local";"Venta";"Barcelona";52;416936;08/25/2004;"Carmen"
176;03/10/2004;"Industrial";"Alquiler";"Lleida";193;1658835;08/30/2004;"Jesús"
177;03/11/2004;"Suelo";"Venta";"Tarragona";148;1431012;09/01/2004;"Jesús"
178;03/11/2004;"Local";"Venta";"Tarragona";118;513300;10/26/2004;"María"
179;03/12/2004;"Industrial";"Venta";"Barcelona";156;848328;02/27/2005;"Jesús"
180;03/12/2004;"Suelo";"Alquiler";"Tarragona";201;1874928;06/21/2004;"Jesús"
181;03/12/2004;"Oficina";"Venta";"Tarragona";42;367584;08/11/2004;"Joaquín"
182;03/13/2004;"Local";"Alquiler";"Tarragona";162;1323054;08/25/2004;"Joaquín"
183;03/14/2004;"Local";"Alquiler";"Girona";231;1446522;09/02/2004;"Carmen"
184;03/14/2004;"Suelo";"Venta";"Tarragona";273;1447992;10/24/2004;"Pedro"
185;03/15/2004;"Industrial";"Venta";"Barcelona";265;2109930;08/27/2004;"María"
186;03/16/2004;"Casa";"Alquiler";"Girona";87;779868;10/23/2004;"Jesús"
187;03/16/2004;"Local";"Alquiler";"Barcelona";95;919030;12/10/2004;"María"
188;03/16/2004;"Casa";"Venta";"Lleida";63;537264;02/08/2005;"Carmen"
189;03/17/2004;"Parking";"Venta";"Girona";160;1261600;10/25/2004;"Jesús"
190;03/17/2004;"Parking";"Alquiler";"Lleida";95;448210;10/25/2004;"Pedro"
191;03/18/2004;"Suelo";"Alquiler";"Tarragona";71;431325;07/23/2004;"Carmen"
192;03/18/2004;"Local";"Venta";"Girona";56;553616;03/09/2005;"Pedro"
193;03/18/2004;"Suelo";"Venta";"Tarragona";59;453651;10/07/2004;"María"
194;03/19/2004;"Local";"Alquiler";"Girona";117;986895;09/14/2004;"Pedro"
195;03/19/2004;"Piso";"Venta";"Girona";62;250852;07/21/2004;"Carmen"
196;03/20/2004;"Piso";"Alquiler";"Barcelona";281;1336717;11/10/2004;"Carmen"
197;03/20/2004;"Piso";"Venta";"Tarragona";87;519738;01/13/2005;"Carmen"
198;03/21/2004;"Oficina";"Alquiler";"Girona";174;720882;08/14/2004;"Pedro"
199;03/21/2004;"Oficina";"Venta";"Lleida";177;842343;03/10/2005;"María"
200;03/22/2004;"Parking";"Venta";"Tarragona";281;2108343;09/26/2004;"Pedro"
201;03/22/2004;"Parking";"Venta";"Girona";247;1050985;11/09/2004;"Pedro"
202;03/22/2004;"Piso";"Alquiler";"Girona";52;298272;08/13/2004;"María"
203;03/22/2004;"Local";"Alquiler";"Girona";169;902798;07/16/2004;"Luisa"
204;03/23/2004;"Local";"Alquiler";"Barcelona";106;692180;11/09/2004;"Luisa"
205;03/23/2004;"Local";"Venta";"Girona";274;2002392;12/04/2004;"Luisa"
206;03/23/2004;"Piso";"Alquiler";"Lleida";250;2253500;02/21/2005;"Joaquín"
207;03/23/2004;"Piso";"Alquiler";"Lleida";134;1338124;08/19/2004;"Luisa"
208;03/23/2004;"Casa";"Venta";"Lleida";156;1369680;09/27/2004;"Pedro"
209;03/24/2004;"Parking";"Venta";"Lleida";167;1643948;09/21/2004;"María"
210;03/24/2004;"Oficina";"Alquiler";"Lleida";206;1297594;03/03/2005;"Carmen"
211;03/25/2004;"Parking";"Alquiler";"Barcelona";269;2134246;08/11/2004;"Carmen"
212;03/25/2004;"Casa";"Alquiler";"Barcelona";63;492156;10/25/2004;"Carmen"
213;03/26/2004;"Suelo";"Alquiler";"Lleida";223;1932518;01/19/2005;"Pedro"
214;03/26/2004;"Industrial";"Venta";"Girona";163;1385011;08/26/2004;"Carmen"
215;03/27/2004;"Parking";"Alquiler";"Girona";214;1219158;07/13/2004;"Pedro"
216;03/27/2004;"Industrial";"Venta";"Tarragona";263;1494892;02/02/2005;"María"
217;03/28/2004;"Industrial";"Alquiler";"Lleida";216;1398600;11/03/2004;"Luisa"
218;03/29/2004;"Suelo";"Alquiler";"Tarragona";65;461435;12/31/2004;"Carmen"
219;03/29/2004;"Industrial";"Alquiler";"Girona";46;351256;03/28/2005;"Luisa"
220;03/30/2004;"Industrial";"Alquiler";"Lleida";209;1042283;09/17/2004;"Jesús"
221;03/30/2004;"Casa";"Alquiler";"Barcelona";56;474600;08/27/2004;"Pedro"
222;03/30/2004;"Local";"Alquiler";"Girona";82;420660;10/02/2004;"María"
223;03/31/2004;"Suelo";"Alquiler";"Girona";62;489924;09/09/2004;"Luisa"
224;03/31/2004;"Oficina";"Venta";"Tarragona";192;1032000;08/21/2004;"Luisa"
225;04/01/2004;"Parking";"Alquiler";"Barcelona";152;1069320;12/15/2004;"Jesús"
226;04/01/2004;"Local";"Alquiler";"Tarragona";182;1133132;08/29/2004;"Joaquín"
227;04/01/2004;"Casa";"Venta";"Lleida";179;1670965;09/09/2004;"Luisa"
228;04/01/2004;"Local";"Venta";"Girona";211;2010619;11/12/2004;"Jesús"
229;04/01/2004;"Oficina";"Venta";"Tarragona";117;739206;01/25/2005;"Carmen"
230;04/02/2004;"Oficina";"Alquiler";"Tarragona";186;1382166;03/01/2005;"Pedro"
231;04/03/2004;"Local";"Alquiler";"Barcelona";143;665951;02/18/2005;"Pedro"
232;04/03/2004;"Oficina";"Venta";"Tarragona";212;1479548;11/03/2004;"María"
233;04/03/2004;"Local";"Alquiler";"Girona";246;1362348;10/05/2004;"Joaquín"
234;04/03/2004;"Suelo";"Venta";"Girona";230;1722700;03/26/2005;"Carmen"
235;04/03/2004;"Suelo";"Venta";"Lleida";126;848358;11/02/2004;"Pedro"
236;04/03/2004;"Industrial";"Venta";"Girona";226;2104286;08/26/2004;"Carmen"
237;04/05/2004;"Piso";"Venta";"Tarragona";262;1748850;10/07/2004;"Pedro"
238;04/05/2004;"Casa";"Alquiler";"Barcelona";170;995520;02/01/2005;"Jesús"
239;04/05/2004;"Piso";"Alquiler";"Lleida";268;2338032;01/02/2005;"Pedro"
240;04/06/2004;"Parking";"Venta";"Barcelona";164;1298716;12/03/2004;"Luisa"
241;04/06/2004;"Local";"Venta";"Lleida";260;2038660;07/26/2004;"Carmen"
242;04/07/2004;"Suelo";"Venta";"Barcelona";69;656535;08/16/2004;"Jesús"
243;04/07/2004;"Local";"Venta";"Lleida";298;1870546;03/31/2005;"Luisa"
244;04/07/2004;"Local";"Alquiler";"Tarragona";284;1431076;12/22/2004;"María"
245;04/08/2004;"Casa";"Venta";"Barcelona";239;1176597;07/07/2004;"Joaquín"
246;04/09/2004;"Local";"Venta";"Girona";287;1936102;04/08/2005;"Jesús"
247;04/09/2004;"Industrial";"Alquiler";"Barcelona";159;1582527;12/09/2004;"Jesús"
248;04/09/2004;"Suelo";"Alquiler";"Girona";136;873120;12/26/2004;"Pedro"
249;04/09/2004;"Industrial";"Venta";"Tarragona";223;2026401;12/13/2004;"Joaquín"
250;04/09/2004;"Piso";"Alquiler";"Lleida";175;747075;02/01/2005;"Pedro"
251;04/09/2004;"Suelo";"Venta";"Lleida";124;1130632;01/22/2005;"Pedro"
252;04/09/2004;"Parking";"Alquiler";"Lleida";168;1622040;10/15/2004;"María"
253;04/10/2004;"Parking";"Venta";"Tarragona";106;567206;08/08/2004;"María"
254;04/10/2004;"Piso";"Venta";"Girona";67;379689;10/29/2004;"Pedro"
255;04/10/2004;"Local";"Alquiler";"Barcelona";49;424536;03/04/2005;"Pedro"
256;04/10/2004;"Industrial";"Venta";"Girona";238;1620304;10/05/2004;"Carmen"
257;04/11/2004;"Suelo";"Alquiler";"Lleida";261;1220697;02/09/2005;"Carmen"
258;04/11/2004;"Suelo";"Alquiler";"Barcelona";242;1099648;02/13/2005;"María"
259;04/11/2004;"Parking";"Venta";"Tarragona";138;1183212;02/26/2005;"Luisa"
260;04/12/2004;"Piso";"Alquiler";"Tarragona";258;1750014;12/09/2004;"Luisa"
261;04/12/2004;"Casa";"Alquiler";"Lleida";201;1107108;04/07/2005;"Joaquín"
262;04/12/2004;"Casa";"Alquiler";"Barcelona";181;1449629;09/14/2004;"Luisa"
263;04/13/2004;"Oficina";"Alquiler";"Barcelona";244;1006988;08/06/2004;"María"
264;04/14/2004;"Parking";"Alquiler";"Tarragona";258;1770912;03/02/2005;"Jesús"
265;04/14/2004;"Parking";"Venta";"Barcelona";105;927255;11/21/2004;"Luisa"
266;04/14/2004;"Parking";"Alquiler";"Tarragona";216;1125792;09/16/2004;"Jesús"
267;04/14/2004;"Casa";"Venta";"Girona";204;1291116;09/27/2004;"Carmen"
268;04/15/2004;"Industrial";"Alquiler";"Girona";150;968250;02/15/2005;"María"
269;04/15/2004;"Parking";"Venta";"Lleida";52;446888;09/01/2004;"María"
270;04/15/2004;"Parking";"Alquiler";"Tarragona";223;1342906;10/31/2004;"Joaquín"
271;04/15/2004;"Local";"Alquiler";"Lleida";237;1093281;01/02/2005;"Jesús"
272;04/15/2004;"Suelo";"Venta";"Lleida";270;2409210;09/03/2004;"Carmen"
273;04/15/2004;"Piso";"Alquiler";"Lleida";120;722880;02/14/2005;"Joaquín"
274;04/15/2004;"Piso";"Alquiler";"Lleida";113;1102880;03/17/2005;"Jesús"
275;04/16/2004;"Local";"Alquiler";"Girona";193;1079449;11/20/2004;"Pedro"
276;04/17/2004;"Oficina";"Alquiler";"Girona";110;1039500;11/17/2004;"Pedro"
277;04/17/2004;"Parking";"Venta";"Barcelona";209;2038586;01/06/2005;"Jesús"
278;04/17/2004;"Suelo";"Alquiler";"Girona";125;853750;08/25/2004;"Carmen"
279;04/18/2004;"Suelo";"Venta";"Girona";244;1414956;02/26/2005;"María"
280;04/18/2004;"Oficina";"Venta";"Barcelona";154;881804;08/25/2004;"Pedro"
281;04/18/2004;"Oficina";"Venta";"Girona";258;1081278;04/13/2005;"Carmen"
282;04/18/2004;"Casa";"Venta";"Girona";285;2534505;12/28/2004;"Jesús"
283;04/18/2004;"Oficina";"Alquiler";"Tarragona";137;1336298;11/27/2004;"Pedro"
284;04/19/2004;"Suelo";"Alquiler";"Girona";262;2404898;10/20/2004;"Luisa"
285;04/19/2004;"Industrial";"Alquiler";"Tarragona";143;712712;01/10/2005;"Jesús"
286;04/19/2004;"Industrial";"Venta";"Barcelona";65;523770;01/24/2005;"Jesús"
287;04/19/2004;"Industrial";"Alquiler";"Barcelona";225;1360800;07/22/2004;"Jesús"
288;04/19/2004;"Casa";"Alquiler";"Lleida";177;924294;01/19/2005;"Luisa"
289;04/20/2004;"Suelo";"Venta";"Lleida";163;895359;02/17/2005;"Pedro"
290;04/20/2004;"Oficina";"Alquiler";"Girona";227;1437818;03/27/2005;"Jesús"
291;04/21/2004;"Casa";"Alquiler";"Tarragona";295;1877675;09/11/2004;"Pedro"
292;04/21/2004;"Parking";"Venta";"Barcelona";54;258444;03/08/2005;"Pedro"
293;04/22/2004;"Parking";"Venta";"Girona";82;430418;02/09/2005;"Luisa"
294;04/22/2004;"Oficina";"Venta";"Girona";86;589960;03/18/2005;"Carmen"
295;04/22/2004;"Oficina";"Venta";"Girona";133;786695;11/21/2004;"Luisa"
296;04/22/2004;"Parking";"Alquiler";"Barcelona";235;1773780;03/28/2005;"Pedro"
297;04/23/2004;"Suelo";"Alquiler";"Girona";288;2699136;07/28/2004;"Pedro"
298;04/23/2004;"Industrial";"Venta";"Barcelona";106;600596;11/23/2004;"Luisa"
299;04/23/2004;"Industrial";"Venta";"Girona";45;307170;04/16/2005;"Joaquín"
300;04/23/2004;"Suelo";"Alquiler";"Tarragona";85;683230;02/06/2005;"Carmen"
301;04/24/2004;"Casa";"Alquiler";"Tarragona";178;1458176;02/12/2005;"Carmen"
302;04/24/2004;"Industrial";"Alquiler";"Girona";211;1171894;03/22/2005;"Pedro"
